dateTime,measureValue,unit,deviceId
2021-11-30 09:30:00,3184,RPM,dev-1
2021-11-30 09:30:00,1395,MW,dev-1
2021-11-30 09:30:00,2921,RPM,dev-2
2021-11-30 09:30:00,1546,MW,dev-2
2021-11-30 09:30:00,2928,RPM,dev-3
2021-11-30 09:30:00,1571,MW,dev-3
2021-11-30 09:30:01,2948,RPM,dev-1
2021-11-30 09:30:01,1516,MW,dev-1
2021-11-30 09:30:01,2942,RPM,dev-2
2021-11-30 09:30:01,1466,MW,dev-2
2021-11-30 09:30:01,2984,RPM,dev-3
2021-11-30 09:30:01,1739,MW,dev-3
2021-11-30 09:30:02,3133,RPM,dev-1
2021-11-30 09:30:02,1684,MW,dev-1
2021-11-30 09:30:02,2720,RPM,dev-2
2021-11-30 09:30:02,1421,MW,dev-2
2021-11-30 09:30:02,2936,RPM,dev-3
2021-11-30 09:30:02,1712,MW,dev-3
2021-11-30 09:30:03,2873,RPM,dev-1
2021-11-30 09:30:03,1380,MW,dev-1
2021-11-30 09:30:03,2861,RPM,dev-2
2021-11-30 09:30:03,1400,MW,dev-2
2021-11-30 09:30:03,2976,RPM,dev-3
2021-11-30 09:30:03,1600,MW,dev-3
2021-11-30 09:30:04,3223,RPM,dev-1
2021-11-30 09:30:04,1341,MW,dev-1
2021-11-30 09:30:04,2759,RPM,dev-2
2021-11-30 09:30:04,1428,MW,dev-2
2021-11-30 09:30:04,3049,RPM,dev-3
2021-11-30 09:30:04,1581,MW,dev-3
2021-11-30 09:30:05,3125,RPM,dev-1
2021-11-30 09:30:05,1378,MW,dev-1
2021-11-30 09:30:05,2849,RPM,dev-2
2021-11-30 09:30:05,1534,MW,dev-2
2021-11-30 09:30:05,3024,RPM,dev-3
2021-11-30 09:30:05,1676,MW,dev-3
2021-11-30 09:30:06,3282,RPM,dev-1
2021-11-30 09:30:06,1302,MW,dev-1
2021-11-30 09:30:06,3179,RPM,dev-2
2021-11-30 09:30:06,1463,MW,dev-2
2021-11-30 09:30:06,2959,RPM,dev-3
2021-11-30 09:30:06,1502,MW,dev-3
2021-11-30 09:30:07,2887,RPM,dev-1
2021-11-30 09:30:07,1458,MW,dev-1
2021-11-30 09:30:07,2895,RPM,dev-2
2021-11-30 09:30:07,1568,MW,dev-2
2021-11-30 09:30:07,2990,RPM,dev-3
2021-11-30 09:30:07,1687,MW,dev-3
2021-11-30 09:30:08,3146,RPM,dev-1
2021-11-30 09:30:08,1310,MW,dev-1
2021-11-30 09:30:08,3045,RPM,dev-2
2021-11-30 09:30:08,1529,MW,dev-2
2021-11-30 09:30:08,2983,RPM,dev-3
2021-11-30 09:30:08,1567,MW,dev-3
2021-11-30 09:30:09,2916,RPM,dev-1
2021-11-30 09:30:09,1325,MW,dev-1
